FID,OBJECTID_1,NOMBRE_ENT,CATEGORIA,DEPARTAMEN,COD_DEPART,COD_MUNICI,AREA_KM,OBSERVACIO,PK_CUE,ACTO_ADMIN,ESCALA_150,ESCALA_200,ESCALA_300,ESCALA_350,ESCALA_400,ESCALA_500,ESCALA_750,ESCALA_100,SHAPE_Leng,SHAPE_Area
853,"5,037.000000000000000",GÁMBITA,M,SANTANDER,68,298,588.462359930000050, ,"501,988.000000000000000", ,0,0,0,0,0,0,0,0,1.389305562950000,0.048048712821600
854,"5,038.000000000000000",San Martín de Loba,M,BOLÍVAR,13,667,454.876349839999990, ,"503,056.000000000000000", ,0,0,0,0,0,0,0,0,1.349258605450000,0.037381735239100
855,"5,039.000000000000000",El Peñón,M,BOLÍVAR,13,268,316.883740110000020, ,"503,058.000000000000000", ,0,0,0,0,0,0,0,0,0.913088765550000,0.026046666310600
856,"5,040.000000000000000",SAHAGÚN,M,CÓRDOBA,23,660,960.067774460000010, ,"503,060.000000000000000", ,0,0,0,0,0,0,0,0,1.955716690120000,0.078857648053500
857,"5,041.000000000000000",Dibulla,M,LA GUAJIRA,44,090,"1,750.847262649999900",En proceso de Aprobación. Sujeto a cambios,"503,062.000000000000000", ,0,0,0,0,0,0,0,0,1.922849795840000,0.144900120993000
858,"5,042.000000000000000",SANTA MARTA,D,MAGDALENA,47,001,"2,351.710245390000200",En proceso de Aprobación. Sujeto a cambios,"503,064.000000000000000", ,0,0,0,0,0,0,0,0,2.916570090410000,0.194296176593000
859,"5,043.000000000000000",Concordia,M,Magdalena,47,205,109.415795270000000, ,"503,070.000000000000000", ,0,0,0,0,0,0,0,0,0.535626781758000,0.009027574964600
860,"5,044.000000000000000",Mahates,M,Bolívar,13,433,432.898884570000010, ,"503,072.000000000000000", ,0,0,0,0,0,0,0,0,1.282238766610000,0.035703592627600
861,"5,045.000000000000000",VETAS,M,SANTANDER,68,867,92.551828279999995, ,"502,489.000000000000000", ,0,0,0,0,0,0,0,0,0.403728004225000,0.007576070297910
862,"5,046.000000000000000",CALIFORNIA,M,SANTANDER,68,132,44.832793590000001, ,"502,493.000000000000000", ,0,0,0,0,0,0,0,0,0.406132922395000,0.003670186653600
863,"5,047.000000000000000",ITUANGO,M,ANTIOQUIA,05,361,"2,269.756189560000200", ,"502,495.000000000000000", ,0,0,0,0,0,0,0,0,2.653624703470000,0.185648601249000
864,"5,048.000000000000000",LEBRIJA,M,SANTANDER,68,406,550.432313140000020, ,"502,497.000000000000000", ,0,0,0,0,0,0,0,0,1.443934123760000,0.045055537864800
